Year,Provinces,Emissions,Sectors
2017,Newfoundland and Labrador,1529.0,"Electric power generation, transmission and distribution"
2018,Newfoundland and Labrador,1127.0,"Electric power generation, transmission and distribution"
2019,Newfoundland and Labrador,1140.0,"Electric power generation, transmission and distribution"
2020,Newfoundland and Labrador,952.0,"Electric power generation, transmission and distribution"
2021,Newfoundland and Labrador,646.0,"Electric power generation, transmission and distribution"
2022,Newfoundland and Labrador,686.0,"Electric power generation, transmission and distribution"
2023,Newfoundland and Labrador,680.0,"Electric power generation, transmission and distribution"
2013,Newfoundland and Labrador,15.0,Residential building construction
2014,Newfoundland and Labrador,17.0,Residential building construction
2015,Newfoundland and Labrador,20.0,Residential building construction
2016,Newfoundland and Labrador,27.0,Residential building construction
2017,Newfoundland and Labrador,20.0,Residential building construction
2018,Newfoundland and Labrador,27.0,Residential building construction
2019,Newfoundland and Labrador,23.0,Residential building construction
2020,Newfoundland and Labrador,42.0,Residential building construction
2021,Newfoundland and Labrador,54.0,Residential building construction
2022,Newfoundland and Labrador,55.0,Residential building construction
2023,Newfoundland and Labrador,57.0,Residential building construction
2013,Newfoundland and Labrador,14.0,Non-residential building construction
2014,Newfoundland and Labrador,16.0,Non-residential building construction
2015,Newfoundland and Labrador,19.0,Non-residential building construction
2016,Newfoundland and Labrador,23.0,Non-residential building construction
2017,Newfoundland and Labrador,11.0,Non-residential building construction
2018,Newfoundland and Labrador,16.0,Non-residential building construction
2019,Newfoundland and Labrador,16.0,Non-residential building construction
2020,Newfoundland and Labrador,9.0,Non-residential building construction
2021,Newfoundland and Labrador,9.0,Non-residential building construction
2022,Newfoundland and Labrador,8.0,Non-residential building construction
2023,Newfoundland and Labrador,8.0,Non-residential building construction
2013,Newfoundland and Labrador,23.0,Transportation engineering construction
2014,Newfoundland and Labrador,17.0,Transportation engineering construction
2015,Newfoundland and Labrador,24.0,Transportation engineering construction
2016,Newfoundland and Labrador,19.0,Transportation engineering construction
2017,Newfoundland and Labrador,24.0,Transportation engineering construction
2018,Newfoundland and Labrador,33.0,Transportation engineering construction
2019,Newfoundland and Labrador,30.0,Transportation engineering construction
2020,Newfoundland and Labrador,12.0,Transportation engineering construction
2021,Newfoundland and Labrador,10.0,Transportation engineering construction
2022,Newfoundland and Labrador,9.0,Transportation engineering construction
2023,Newfoundland and Labrador,10.0,Transportation engineering construction
2013,Newfoundland and Labrador,107.0,Oil and gas engineering construction
2014,Newfoundland and Labrador,181.0,Oil and gas engineering construction
2015,Newfoundland and Labrador,176.0,Oil and gas engineering construction
2016,Newfoundland and Labrador,191.0,Oil and gas engineering construction
2017,Newfoundland and Labrador,127.0,Oil and gas engineering construction
2018,Newfoundland and Labrador,152.0,Oil and gas engineering construction
2019,Newfoundland and Labrador,167.0,Oil and gas engineering construction
2020,Newfoundland and Labrador,64.0,Oil and gas engineering construction
2021,Newfoundland and Labrador,42.0,Oil and gas engineering construction
2022,Newfoundland and Labrador,59.0,Oil and gas engineering construction
2023,Newfoundland and Labrador,62.0,Oil and gas engineering construction
2013,Newfoundland and Labrador,26.0,Electric power engineering construction
2014,Newfoundland and Labrador,43.0,Electric power engineering construction
2015,Newfoundland and Labrador,102.0,Electric power engineering construction
2016,Newfoundland and Labrador,176.0,Electric power engineering construction
2017,Newfoundland and Labrador,159.0,Electric power engineering construction
2018,Newfoundland and Labrador,91.0,Electric power engineering construction
2019,Newfoundland and Labrador,74.0,Electric power engineering construction
2020,Newfoundland and Labrador,39.0,Electric power engineering construction
2021,Newfoundland and Labrador,27.0,Electric power engineering construction
2022,Newfoundland and Labrador,6.0,Electric power engineering construction
2023,Newfoundland and Labrador,7.0,Electric power engineering construction
2013,Newfoundland and Labrador,3.0,Communication engineering construction
2014,Newfoundland and Labrador,3.0,Communication engineering construction
2015,Newfoundland and Labrador,2.0,Communication engineering construction
2016,Newfoundland and Labrador,9.0,Communication engineering construction
2017,Newfoundland and Labrador,10.0,Communication engineering construction
2018,Newfoundland and Labrador,15.0,Communication engineering construction
2019,Newfoundland and Labrador,9.0,Communication engineering construction
2020,Newfoundland and Labrador,9.0,Communication engineering construction
2021,Newfoundland and Labrador,9.0,Communication engineering construction
2022,Newfoundland and Labrador,6.0,Communication engineering construction
2023,Newfoundland and Labrador,6.0,Communication engineering construction
2013,Newfoundland and Labrador,22.0,Other engineering construction
2014,Newfoundland and Labrador,15.0,Other engineering construction
2015,Newfoundland and Labrador,15.0,Other engineering construction
2016,Newfoundland and Labrador,26.0,Other engineering construction
2017,Newfoundland and Labrador,34.0,Other engineering construction
2018,Newfoundland and Labrador,56.0,Other engineering construction
2019,Newfoundland and Labrador,44.0,Other engineering construction
2020,Newfoundland and Labrador,45.0,Other engineering construction
2021,Newfoundland and Labrador,65.0,Other engineering construction
2022,Newfoundland and Labrador,35.0,Other engineering construction
2023,Newfoundland and Labrador,37.0,Other engineering construction
2013,Newfoundland and Labrador,10.0,Repair construction
2014,Newfoundland and Labrador,15.0,Repair construction
2015,Newfoundland and Labrador,16.0,Repair construction
2016,Newfoundland and Labrador,22.0,Repair construction
2017,Newfoundland and Labrador,22.0,Repair construction
2018,Newfoundland and Labrador,34.0,Repair construction
2019,Newfoundland and Labrador,27.0,Repair construction
2020,Newfoundland and Labrador,19.0,Repair construction
2021,Newfoundland and Labrador,20.0,Repair construction
2022,Newfoundland and Labrador,18.0,Repair construction
2023,Newfoundland and Labrador,19.0,Repair construction
2013,Newfoundland and Labrador,4.0,Other activities of the construction industry
2014,Newfoundland and Labrador,5.0,Other activities of the construction industry
2015,Newfoundland and Labrador,6.0,Other activities of the construction industry
2016,Newfoundland and Labrador,6.0,Other activities of the construction industry
2017,Newfoundland and Labrador,6.0,Other activities of the construction industry
2018,Newfoundland and Labrador,8.0,Other activities of the construction industry
2019,Newfoundland and Labrador,7.0,Other activities of the construction industry
2020,Newfoundland and Labrador,5.0,Other activities of the construction industry
2021,Newfoundland and Labrador,5.0,Other activities of the construction industry
2022,Newfoundland and Labrador,4.0,Other activities of the construction industry
2023,Newfoundland and Labrador,4.0,Other activities of the construction industry
2013,Newfoundland and Labrador,3.0,Animal food manufacturing
2014,Newfoundland and Labrador,4.0,Animal food manufacturing
2015,Newfoundland and Labrador,4.0,Animal food manufacturing
2016,Newfoundland and Labrador,4.0,Animal food manufacturing
2017,Newfoundland and Labrador,3.0,Animal food manufacturing
2018,Newfoundland and Labrador,3.0,Animal food manufacturing
2019,Newfoundland and Labrador,4.0,Animal food manufacturing
2020,Newfoundland and Labrador,3.0,Animal food manufacturing
2021,Newfoundland and Labrador,4.0,Animal food manufacturing
2022,Newfoundland and Labrador,4.0,Animal food manufacturing
2023,Newfoundland and Labrador,5.0,Animal food manufacturing
2013,Newfoundland and Labrador,6.0,Dairy product manufacturing
2014,Newfoundland and Labrador,5.0,Dairy product manufacturing
2015,Newfoundland and Labrador,4.0,Dairy product manufacturing
2016,Newfoundland and Labrador,6.0,Dairy product manufacturing
2017,Newfoundland and Labrador,5.0,Dairy product manufacturing
2018,Newfoundland and Labrador,1.0,Dairy product manufacturing
2019,Newfoundland and Labrador,1.0,Dairy product manufacturing
2020,Newfoundland and Labrador,1.0,Dairy product manufacturing
2021,Newfoundland and Labrador,1.0,Dairy product manufacturing
2013,Newfoundland and Labrador,4.0,Meat product manufacturing
2014,Newfoundland and Labrador,5.0,Meat product manufacturing
2015,Newfoundland and Labrador,5.0,Meat product manufacturing
2016,Newfoundland and Labrador,5.0,Meat product manufacturing
2017,Newfoundland and Labrador,4.0,Meat product manufacturing
2018,Newfoundland and Labrador,4.0,Meat product manufacturing
2019,Newfoundland and Labrador,4.0,Meat product manufacturing
2020,Newfoundland and Labrador,4.0,Meat product manufacturing
2021,Newfoundland and Labrador,3.0,Meat product manufacturing
2022,Newfoundland and Labrador,4.0,Meat product manufacturing
2023,Newfoundland and Labrador,4.0,Meat product manufacturing
2013,Newfoundland and Labrador,24.0,Seafood product preparation and packaging
2014,Newfoundland and Labrador,24.0,Seafood product preparation and packaging
2015,Newfoundland and Labrador,31.0,Seafood product preparation and packaging
2016,Newfoundland and Labrador,54.0,Seafood product preparation and packaging
2017,Newfoundland and Labrador,24.0,Seafood product preparation and packaging
2018,Newfoundland and Labrador,25.0,Seafood product preparation and packaging
2019,Newfoundland and Labrador,34.0,Seafood product preparation and packaging
2020,Newfoundland and Labrador,35.0,Seafood product preparation and packaging
2021,Newfoundland and Labrador,36.0,Seafood product preparation and packaging
2022,Newfoundland and Labrador,40.0,Seafood product preparation and packaging
2023,Newfoundland and Labrador,41.0,Seafood product preparation and packaging
2013,Newfoundland and Labrador,1.0,Miscellaneous food manufacturing
2015,Newfoundland and Labrador,1.0,Miscellaneous food manufacturing
2016,Newfoundland and Labrador,1.0,Miscellaneous food manufacturing
2017,Newfoundland and Labrador,1.0,Miscellaneous food manufacturing
2018,Newfoundland and Labrador,1.0,Miscellaneous food manufacturing
2019,Newfoundland and Labrador,1.0,Miscellaneous food manufacturing
2020,Newfoundland and Labrador,1.0,Miscellaneous food manufacturing
2021,Newfoundland and Labrador,1.0,Miscellaneous food manufacturing
2022,Newfoundland and Labrador,1.0,Miscellaneous food manufacturing
2023,Newfoundland and Labrador,1.0,Miscellaneous food manufacturing
2013,Newfoundland and Labrador,2.0,Soft drink and ice manufacturing
2014,Newfoundland and Labrador,2.0,Soft drink and ice manufacturing
2015,Newfoundland and Labrador,1.0,Soft drink and ice manufacturing
2016,Newfoundland and Labrador,1.0,Soft drink and ice manufacturing
2017,Newfoundland and Labrador,1.0,Soft drink and ice manufacturing
2018,Newfoundland and Labrador,1.0,Soft drink and ice manufacturing
2019,Newfoundland and Labrador,2.0,Soft drink and ice manufacturing
2020,Newfoundland and Labrador,2.0,Soft drink and ice manufacturing
2021,Newfoundland and Labrador,1.0,Soft drink and ice manufacturing
2022,Newfoundland and Labrador,1.0,Soft drink and ice manufacturing
2023,Newfoundland and Labrador,1.0,Soft drink and ice manufacturing
2013,Newfoundland and Labrador,13.0,Breweries
2014,Newfoundland and Labrador,15.0,Breweries
2015,Newfoundland and Labrador,21.0,Breweries
2016,Newfoundland and Labrador,14.0,Breweries
2017,Newfoundland and Labrador,13.0,Breweries
2018,Newfoundland and Labrador,14.0,Breweries
2019,Newfoundland and Labrador,6.0,Breweries
2020,Newfoundland and Labrador,9.0,Breweries
2021,Newfoundland and Labrador,9.0,Breweries
2022,Newfoundland and Labrador,8.0,Breweries
2023,Newfoundland and Labrador,8.0,Breweries
2016,Newfoundland and Labrador,0.0,Tobacco manufacturing
2015,Newfoundland and Labrador,1.0,Textile and textile product mills
2014,Newfoundland and Labrador,1.0,Clothing and leather and allied product manufacturing
2015,Newfoundland and Labrador,6.0,Clothing and leather and allied product manufacturing
2016,Newfoundland and Labrador,1.0,Clothing and leather and allied product manufacturing
2019,Newfoundland and Labrador,1.0,Clothing and leather and allied product manufacturing
2020,Newfoundland and Labrador,1.0,Clothing and leather and allied product manufacturing
2013,Newfoundland and Labrador,12.0,Wood product manufacturing
2014,Newfoundland and Labrador,12.0,Wood product manufacturing
2015,Newfoundland and Labrador,14.0,Wood product manufacturing
2016,Newfoundland and Labrador,15.0,Wood product manufacturing
2017,Newfoundland and Labrador,16.0,Wood product manufacturing
2018,Newfoundland and Labrador,15.0,Wood product manufacturing
2019,Newfoundland and Labrador,16.0,Wood product manufacturing
2020,Newfoundland and Labrador,16.0,Wood product manufacturing
2021,Newfoundland and Labrador,18.0,Wood product manufacturing
2022,Newfoundland and Labrador,17.0,Wood product manufacturing
2023,Newfoundland and Labrador,16.0,Wood product manufacturing
2013,Newfoundland and Labrador,109.0,"Pulp, paper and paperboard mills"
2014,Newfoundland and Labrador,83.0,"Pulp, paper and paperboard mills"
2015,Newfoundland and Labrador,81.0,"Pulp, paper and paperboard mills"
2016,Newfoundland and Labrador,159.0,"Pulp, paper and paperboard mills"
2017,Newfoundland and Labrador,204.0,"Pulp, paper and paperboard mills"
2018,Newfoundland and Labrador,147.0,"Pulp, paper and paperboard mills"
2019,Newfoundland and Labrador,18.0,"Pulp, paper and paperboard mills"
2020,Newfoundland and Labrador,133.0,"Pulp, paper and paperboard mills"
2021,Newfoundland and Labrador,146.0,"Pulp, paper and paperboard mills"
2022,Newfoundland and Labrador,143.0,"Pulp, paper and paperboard mills"
2023,Newfoundland and Labrador,121.0,"Pulp, paper and paperboard mills"
2015,Newfoundland and Labrador,1.0,Converted paper product manufacturing
2013,Newfoundland and Labrador,1.0,Printing and related support activities
2014,Newfoundland and Labrador,1.0,Printing and related support activities
2015,Newfoundland and Labrador,1.0,Printing and related support activities
2016,Newfoundland and Labrador,1.0,Printing and related support activities
2017,Newfoundland and Labrador,1.0,Printing and related support activities
2018,Newfoundland and Labrador,1.0,Printing and related support activities
2019,Newfoundland and Labrador,1.0,Printing and related support activities
2020,Newfoundland and Labrador,1.0,Printing and related support activities
2021,Newfoundland and Labrador,1.0,Printing and related support activities
2013,Newfoundland and Labrador,935.0,Petroleum and coal product manufacturing
2014,Newfoundland and Labrador,901.0,Petroleum and coal product manufacturing
2015,Newfoundland and Labrador,1019.0,Petroleum and coal product manufacturing
2016,Newfoundland and Labrador,1157.0,Petroleum and coal product manufacturing
2017,Newfoundland and Labrador,947.0,Petroleum and coal product manufacturing
2018,Newfoundland and Labrador,919.0,Petroleum and coal product manufacturing
2019,Newfoundland and Labrador,1040.0,Petroleum and coal product manufacturing
2020,Newfoundland and Labrador,213.0,Petroleum and coal product manufacturing
2021,Newfoundland and Labrador,35.0,Petroleum and coal product manufacturing
2022,Newfoundland and Labrador,25.0,Petroleum and coal product manufacturing
2023,Newfoundland and Labrador,37.0,Petroleum and coal product manufacturing
2013,Newfoundland and Labrador,1.0,Basic chemical manufacturing
2017,Newfoundland and Labrador,5.0,Basic chemical manufacturing
2018,Newfoundland and Labrador,1.0,Basic chemical manufacturing
2019,Newfoundland and Labrador,2.0,Basic chemical manufacturing
2020,Newfoundland and Labrador,3.0,Basic chemical manufacturing
2021,Newfoundland and Labrador,3.0,Basic chemical manufacturing
2022,Newfoundland and Labrador,4.0,Basic chemical manufacturing
2023,Newfoundland and Labrador,5.0,Basic chemical manufacturing
2013,Newfoundland and Labrador,1.0,Miscellaneous chemical product manufacturing
2014,Newfoundland and Labrador,1.0,Miscellaneous chemical product manufacturing
2015,Newfoundland and Labrador,1.0,Miscellaneous chemical product manufacturing
2016,Newfoundland and Labrador,5.0,Miscellaneous chemical product manufacturing
2017,Newfoundland and Labrador,4.0,Miscellaneous chemical product manufacturing
2018,Newfoundland and Labrador,3.0,Miscellaneous chemical product manufacturing
2019,Newfoundland and Labrador,11.0,Miscellaneous chemical product manufacturing
2020,Newfoundland and Labrador,7.0,Miscellaneous chemical product manufacturing
2021,Newfoundland and Labrador,7.0,Miscellaneous chemical product manufacturing
2022,Newfoundland and Labrador,10.0,Miscellaneous chemical product manufacturing
2023,Newfoundland and Labrador,10.0,Miscellaneous chemical product manufacturing
2013,Newfoundland and Labrador,1.0,Plastic product manufacturing
2014,Newfoundland and Labrador,7.0,Plastic product manufacturing
2015,Newfoundland and Labrador,10.0,Plastic product manufacturing
2016,Newfoundland and Labrador,1.0,Plastic product manufacturing
2022,Newfoundland and Labrador,1.0,Plastic product manufacturing
2023,Newfoundland and Labrador,1.0,Plastic product manufacturing
2013,Newfoundland and Labrador,1.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2014,Newfoundland and Labrador,1.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2015,Newfoundland and Labrador,1.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2016,Newfoundland and Labrador,1.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2017,Newfoundland and Labrador,1.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2013,Newfoundland and Labrador,7.0,Cement and concrete product manufacturing
2014,Newfoundland and Labrador,3.0,Cement and concrete product manufacturing
2015,Newfoundland and Labrador,4.0,Cement and concrete product manufacturing
2016,Newfoundland and Labrador,14.0,Cement and concrete product manufacturing
2017,Newfoundland and Labrador,11.0,Cement and concrete product manufacturing
2018,Newfoundland and Labrador,26.0,Cement and concrete product manufacturing
2019,Newfoundland and Labrador,32.0,Cement and concrete product manufacturing
2020,Newfoundland and Labrador,54.0,Cement and concrete product manufacturing
2021,Newfoundland and Labrador,8.0,Cement and concrete product manufacturing
2022,Newfoundland and Labrador,6.0,Cement and concrete product manufacturing
2023,Newfoundland and Labrador,6.0,Cement and concrete product manufacturing
2013,Newfoundland and Labrador,1.0,Primary metal manufacturing
2015,Newfoundland and Labrador,89.0,Primary metal manufacturing
2016,Newfoundland and Labrador,38.0,Primary metal manufacturing
2017,Newfoundland and Labrador,54.0,Primary metal manufacturing
2018,Newfoundland and Labrador,45.0,Primary metal manufacturing
2019,Newfoundland and Labrador,40.0,Primary metal manufacturing
2020,Newfoundland and Labrador,17.0,Primary metal manufacturing
2021,Newfoundland and Labrador,14.0,Primary metal manufacturing
2022,Newfoundland and Labrador,29.0,Primary metal manufacturing
2023,Newfoundland and Labrador,29.0,Primary metal manufacturing
2013,Newfoundland and Labrador,8.0,Fabricated metal product manufacturing
2014,Newfoundland and Labrador,5.0,Fabricated metal product manufacturing
2015,Newfoundland and Labrador,7.0,Fabricated metal product manufacturing
2016,Newfoundland and Labrador,6.0,Fabricated metal product manufacturing
2017,Newfoundland and Labrador,3.0,Fabricated metal product manufacturing
2018,Newfoundland and Labrador,3.0,Fabricated metal product manufacturing
2019,Newfoundland and Labrador,3.0,Fabricated metal product manufacturing
2020,Newfoundland and Labrador,3.0,Fabricated metal product manufacturing
2021,Newfoundland and Labrador,2.0,Fabricated metal product manufacturing
2022,Newfoundland and Labrador,2.0,Fabricated metal product manufacturing
2023,Newfoundland and Labrador,2.0,Fabricated metal product manufacturing
2013,Newfoundland and Labrador,2.0,Machinery manufacturing
2014,Newfoundland and Labrador,2.0,Machinery manufacturing
2015,Newfoundland and Labrador,8.0,Machinery manufacturing
2016,Newfoundland and Labrador,1.0,Machinery manufacturing
2017,Newfoundland and Labrador,2.0,Machinery manufacturing
2018,Newfoundland and Labrador,2.0,Machinery manufacturing
2019,Newfoundland and Labrador,2.0,Machinery manufacturing
2020,Newfoundland and Labrador,2.0,Machinery manufacturing
2021,Newfoundland and Labrador,1.0,Machinery manufacturing
2022,Newfoundland and Labrador,1.0,Machinery manufacturing
2023,Newfoundland and Labrador,1.0,Machinery manufacturing
2019,Newfoundland and Labrador,1.0,Electronic product manufacturing
2013,Newfoundland and Labrador,2.0,Motor vehicle manufacturing
2014,Newfoundland and Labrador,1.0,Motor vehicle manufacturing
2015,Newfoundland and Labrador,1.0,Motor vehicle manufacturing
2017,Newfoundland and Labrador,1.0,Motor vehicle manufacturing
2018,Newfoundland and Labrador,1.0,Motor vehicle manufacturing
2019,Newfoundland and Labrador,1.0,Motor vehicle manufacturing
2020,Newfoundland and Labrador,1.0,Motor vehicle manufacturing
2021,Newfoundland and Labrador,1.0,Motor vehicle manufacturing
2022,Newfoundland and Labrador,1.0,Motor vehicle manufacturing
2023,Newfoundland and Labrador,1.0,Motor vehicle manufacturing
2015,Newfoundland and Labrador,1.0,Aerospace product and parts manufacturing
2016,Newfoundland and Labrador,0.0,Railroad rolling stock manufacturing
2013,Newfoundland and Labrador,2.0,Ship and boat building
2014,Newfoundland and Labrador,4.0,Ship and boat building
2015,Newfoundland and Labrador,4.0,Ship and boat building
2016,Newfoundland and Labrador,1.0,Ship and boat building
2017,Newfoundland and Labrador,1.0,Ship and boat building
2018,Newfoundland and Labrador,4.0,Ship and boat building
2013,Newfoundland and Labrador,2.0,Furniture and related product manufacturing
2014,Newfoundland and Labrador,1.0,Furniture and related product manufacturing
2015,Newfoundland and Labrador,1.0,Furniture and related product manufacturing
2016,Newfoundland and Labrador,2.0,Furniture and related product manufacturing
2017,Newfoundland and Labrador,1.0,Furniture and related product manufacturing
2018,Newfoundland and Labrador,1.0,Furniture and related product manufacturing
2019,Newfoundland and Labrador,1.0,Furniture and related product manufacturing
2020,Newfoundland and Labrador,1.0,Furniture and related product manufacturing
2021,Newfoundland and Labrador,1.0,Furniture and related product manufacturing
2022,Newfoundland and Labrador,1.0,Furniture and related product manufacturing
2023,Newfoundland and Labrador,1.0,Furniture and related product manufacturing
2013,Newfoundland and Labrador,3.0,Miscellaneous manufacturing
2014,Newfoundland and Labrador,2.0,Miscellaneous manufacturing
2015,Newfoundland and Labrador,2.0,Miscellaneous manufacturing
2016,Newfoundland and Labrador,1.0,Miscellaneous manufacturing
2017,Newfoundland and Labrador,1.0,Miscellaneous manufacturing
2018,Newfoundland and Labrador,2.0,Miscellaneous manufacturing
2019,Newfoundland and Labrador,1.0,Miscellaneous manufacturing
2020,Newfoundland and Labrador,1.0,Miscellaneous manufacturing
2021,Newfoundland and Labrador,1.0,Miscellaneous manufacturing
2022,Newfoundland and Labrador,1.0,Miscellaneous manufacturing
2023,Newfoundland and Labrador,1.0,Miscellaneous manufacturing
2013,Newfoundland and Labrador,50.0,Wholesale trade
2014,Newfoundland and Labrador,47.0,Wholesale trade
2015,Newfoundland and Labrador,52.0,Wholesale trade
