*Stations2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Definitions_Définitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*DataSources_SourcesdesDonnées,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**********Stations2024**********,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPS_ID,Station_Name,Status,Location_Address,City,Province/Territory_EN,Province/territoire_FR,Postal_Code,Timezone_UTC,Latitude,Longitude,Elevation_m,Start_Date,End_Date,Combined_Stations,Inlet_Height_m,Network,SO2,CO,NO2,NO,NOX,O3,PM2.5_Continuous,PM10_Continuous,PM2.5_RM,PM10_Integrated,PM2.5-10,PM2.5_Speciation,VOC,Carbonyl,PAC,Site_Type,Urbanization,Neighbourhood,Land_Use,Scale,PC,CD,CSD,CMA/CA,AQMS_Airzone,Core_Site
10901,MARYSTOWN_BURIN,1,18 HWY 220 (Main St.),BURIN,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,A0E 2E0,-3.5,47.09899,-55.19852,1,2011-10-23,,,4,N,X,X,X,X,X,X,X,X,,,,,,,,RB,NU,P2,R,R,none,02. Division No.  2,"005. Burin, T",none,Newfoundland and Labrador - Newfoundland,
11001,LABRADOR CITY - SMOKEY MOUNTAIN,0,,LABRADOR CITY,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,,-4,52.9518,-66.9156,540,2014-01-01,2015-12-31,11002,,N,X,,X,X,X,X,X,,,,,,,,,PE,SU,P2,W,N,0438. Labrador City,10. Division No. 10,"032. Labrador City, T",none,Newfoundland and Labrador - Labrador,
11002,FIREHALL-LABRADORCITY2,1,317 HUDSON DRIVE,LABRADOR CITY,NEWFOUNDLAND AND LABRADOR,TERRE-NEUVE-ET-LABRADOR,A2V 1L6,-4,52.945487,-66.910306,558,2016-01-01,,11001,3,N,X,X,X,X,X,X,X,X,,,,,,,,PS,SU,P2,R,N,0438. Labrador City,10. Division No. 10,"032. Labrador City, T",none,Newfoundland and Labrador - Labrador,
20101,CHARLOTTETOWN - 56 FITZROY ST.,0,56 FITZROY ST.,CHARLOTTETOWN,PRINCE EDWARD ISLAND,ÎLE-DU-PRINCE-ÉDOUARD,C1A 1R5,-4,46.23543,-63.13078,2,1974-01-03,1997-12-31,,,N,X,,,,,X,,,,,,,,,X,PE,MU,P3,R,N,0159. Charlottetown,02. Queens,"075. Charlottetown, CY","105. Charlottetown, CA/AR",Prince Edward Island,
20104,CHARLOTTETOWN - 3 BRIGHTON RD.,1,3 BRIGHTON ROAD,CHARLOTTETOWN,PRINCE EDWARD ISLAND,ÎLE-DU-PRINCE-ÉDOUARD,C1A 8T6,-4,46.233,-63.13667,21,2014-01-01,,,"9:O3,SO2,NOX / 5:PM25",N,X,,X,X,X,X,X,,,,,,,,,T,MU,P3,R,M,0159. Charlottetown,02. Queens,"075. Charlottetown, CY","105. Charlottetown, CA/AR",Prince Edward Island,
20201,NORTH CAPE - ATLANTIC WIND TEST SITE,0,NORTH CAPE,NORTH CAPE,PRINCE EDWARD ISLAND,ÎLE-DU-PRINCE-ÉDOUARD,,-4,47.055,-63.99722,4,1992-09-17,1997-12-31,,,N,,,,,,X,,,,,,,,,,RB,NU,P1,O,R,none,03. Prince,"061. Tignish, FD",none,Prince Edward Island,
20301,WELLINGTON - 40 HACKMATACK RD.,1,40 ROUTE 125 (HACKMATACK ROAD),WELLINGTON,PRINCE EDWARD ISLAND,ÎLE-DU-PRINCE-ÉDOUARD,C0B 2E0,-4,46.47843,-63.98763,6,2014-01-01,,,1.52,N,,,X,X,X,X,X,,,,,,,,,RB,NU,P2,F,R,none,03. Prince,"020. Wellington, FD",none,Prince Edward Island,
20401,SOUTHAMPTON - 2580 CARDIGAN RD.,1,2580 ROUTE 313 (CARDIGAN ROAD),SOUTHAMPTON,PRINCE EDWARD ISLAND,ÎLE-DU-PRINCE-ÉDOUARD,C0A 2A0,-4,46.38635,-62.58272,30,2014-01-01,,,"2.67 OZONE, 4.88 PM 2.5",N,,,X,X,X,X,X,,X,,,,,,,RB,NU,P1,A,R,none,01. Kings,"037. St. Peters, FD",none,Prince Edward Island,2
30101,HALIFAX - DALTECH,0,"DALTECH, C BUILDING, 1360 BARRINGTON STREET",HALIFAX,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B3J 1B6,-4,44.64202,-63.57362,35,1974-01-01,2002-08-06,,,N,X,,,,,,,,X,,X,,,,,PE,LU,P4,R,N,0348. Halifax,09. Halifax,"034. Halifax, RGM","205. Halifax, CMA/RMR",Nova Scotia - Central,
30113,HALIFAX - JOHNSTON BUILDING,1,1672 GRANVILLE STREET,HALIFAX,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B3J 2N2,-4,44.64711,-63.57366,28,2006-04-13,,,12,N,X,X,X,X,X,X,X,X,X,X,X,X,X,,,PE,LU,P4,C,N,0348. Halifax,09. Halifax,"034. Halifax, RGM","205. Halifax, CMA/RMR",Nova Scotia - Central,1
30114,HALIFAX - MT. ST. VINCENT UNIVERSITY,0,MT ST VINCENT UNIVERSITY,HALIFAX,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B3M 3J8,-4,44.67111,-63.64389,12,1974-01-01,1985-12-31,,,N,X,,,,,,,,,,,,,,,PE,LU,P4,R,N,0348. Halifax,09. Halifax,"034. Halifax, RGM","205. Halifax, CMA/RMR",Nova Scotia - Central,
30115,DARTMOUTH - CFB SHEARWATER,0,CFB SHEARWATER,DARTMOUTH,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B0J 3A0,-4,44.62611,-63.51944,15,1974-01-01,1998-12-31,,,N,X,X,X,X,X,X,,,,,,,,,,PE,LU,P3,W,N,0348. Halifax,09. Halifax,"034. Halifax, RGM","205. Halifax, CMA/RMR",Nova Scotia - Central,
30116,HALIFAX - CITY HALL,0,BARRINGTON & DUKE,HALIFAX,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B3J 3N8,-4,44.6492,-63.57507,21,1974-09-26,1985-12-31,,,N,X,X,X,,,X,,,,,,,,,,PE,LU,P5,C,N,0348. Halifax,09. Halifax,"034. Halifax, RGM","205. Halifax, CMA/RMR",Nova Scotia - Central,
30117,HALIFAX - BEDFORD ROW POST OFFICE,0,BEDFORD ROW POST OFFICE,HALIFAX,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B3J 1M7,-4,44.64732,-63.57205,9,1986-08-01,1990-11-15,,,N,X,X,X,,,X,,,,,,,X,,,PE,LU,P4,C,N,0348. Halifax,09. Halifax,"034. Halifax, RGM","205. Halifax, CMA/RMR",Nova Scotia - Central,
30118,HALIFAX - VOGUE BUILDING,0,1649 BARRINGTON STREET,HALIFAX,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B3J 2A1,-4,44.646425,-63.573383,18,1990-12-03,2018-01-14,,9,N,X,X,X,X,X,X,,,X,,X,,X,,X,PE,LU,P4,C,N,0348. Halifax,09. Halifax,"034. Halifax, RGM","205. Halifax, CMA/RMR",Nova Scotia - Central,
30119,DARTMOUTH - HARBOURVIEW SCHOOL,0,HARBOURVIEW SCHOOL,DARTMOUTH,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B3A 4H4,-4,44.68113,-63.58973,44,1993-10-10,1995-04-03,,,N,,,,,,,,,X,,X,,,,,PE,LU,P4,R,na,0348. Halifax,09. Halifax,"034. Halifax, RGM","205. Halifax, CMA/RMR",Nova Scotia - Central,
30120,DARTMOUTH - LAKE MAJOR,1,341 CHERRYBROOK ROAD,DARTMOUTH,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B2Z 1B3,-4,44.7198,-63.48076,68,2001-06-18,,,2,N,X,,X,X,X,X,X,X,,,,,,,,PE,NU,P2,F,N,none,09. Halifax,"034. Halifax, RGM","205. Halifax, CMA/RMR",Nova Scotia - Central,
30201,PORT HAWKESBURY,1,18 EMBREE STREET,PORT HAWKESBURY,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B9A 2P6,-4,45.6141612,-61.3623563,14,2003-01-20,,,5,N,X,,X,X,X,X,X,X,,,,,,,,PS,SU,P2,R,N,0661. Port Hawkesbury,15. Inverness,"002. Port Hawkesbury, T",none,Nova Scotia - Eastern,
30310,SYDNEY - WELTON ST.,0,71 WELTON STREET,SYDNEY,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B1P 5R2,-4,46.14222,-60.17252,27,1974-01-11,2024-10-15,30312,5,N,X,X,X,X,X,X,X,X,,,,,,,,PE,MU,P3,R,N,0913. Cape Breton - Sydney,17. Cape Breton,"030. Cape Breton, RGM","225. Cape Breton, CA/AR",Nova Scotia - Eastern,
30311,SYDNEY - WHITNEY PIER FIRE STATION,0,"WHITNEY PIER FIRE STN., Victoria Road, Whitney Pier",SYDNEY,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B1N 1L1,-4,46.16142,-60.18694,29,1974-01-16,2010-12-31,,,N,X,,X,,,X,X,,,,,,,,,PE,MU,P3,R,N,0913. Cape Breton - Sydney,17. Cape Breton,"030. Cape Breton, RGM","225. Cape Breton, CA/AR",Nova Scotia - Eastern,
30408,GALCE BAY - SOUTH ST. - 1,0,SOUTH STREET,GLACE BAY,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B1A 1W6,-4,46.18361,-59.93917,11,1978-01-01,1983-08-07,,,N,X,,,,,,,,,,,,,,,PE,SU,P3,C,N,0318. Glace Bay,17. Cape Breton,"030. Cape Breton, RGM","225. Cape Breton, CA/AR",Nova Scotia - Eastern,
30409,GALCE BAY - SOUTH ST. - 2,0,SOUTH STREET,GLACE BAY,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B1A 1W5,-4,46.18333,-59.9375,6,1985-08-27,1995-12-31,,,N,X,,,,,,,,,,,,,,,PE,SU,P3,C,N,0318. Glace Bay,17. Cape Breton,"030. Cape Breton, RGM","225. Cape Breton, CA/AR",Nova Scotia - Eastern,
30501,KEJIMKUJIK NATIONAL PARK,0,NATIONAL PARK,KEJIMKUJIK,NOVA SCOTIA,NOUVELLE-ÉCOSSE,,-4,44.433611,-65.205833,127,1985-04-16,2016-12-31,30502,,C,,,,,,X,X,,X,,X,,X,X,X,RB,NU,P1,F,R,none,05. Annapolis,"001. Annapolis, Subd. D, SC",none,Nova Scotia - Western,
30502,KEJIMKUJIK NATIONAL PARK - B,1,NATIONAL PARK,KEJIMKUJIK,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B0T 1B0,-4,44.43244,-65.20264,124,2016-01-01,,30501,,C,,,,,,X,,,,,,,,,,RB,NU,P1,F,R,none,05. Annapolis,"001. Annapolis, Subd. D, SC",none,Nova Scotia - Western,
30601,FALL RIVER - 123 OAKES RD.,0,123 OAKES ROAD,FALL RIVER,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B2T 1J5,-4,44.8125,-63.60417,72,1986-01-01,1989-04-14,,,N,,,,,,X,,,,,,,,,,RB,LU,P2,F,R,0348. Halifax,09. Halifax,"034. Halifax, RGM","205. Halifax, CMA/RMR",Nova Scotia - Central,
30701,AYLESFORD MOUNTAIN,1,"1009 BROW MOUNTAIN ROAD, KINGS COUNTY",AYLESFORD,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B0P 1C0,-4,45.07254,-64.84025,235,1991-07-02,,,5,N,,,X,X,X,X,X,X,,,,,,,,RB,NU,P2,F,R,none,07. Kings,"001. Kings, Subd. A, SC",none,Nova Scotia - Western,
30801,YARMOUTH - DAYTON,0,"YARMOUTH WEATHER OFFICE, DAYTON",YARMOUTH,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B5A (4A8),-4,43.83333,-66.08333,31,1994-01-05,2013-12-31,,,N,,,,,,X,,,,,,,,,,RB,SU,P2,F,R,1043. Yarmouth,02. Yarmouth,"040. Yarmouth 33, IRI",none,Nova Scotia - Western,
30901,PICTOU,1,91 BEECHES ROAD,PICTOU,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B0K 1H0,-4,45.681744,-62.696575,12,2001-01-01,,,4,N,X,,X,X,X,X,X,X,,,,,,,,PE,SU,P2,R,N,0642. Pictou,12. Pictou,"004. Pictou, T",none,Nova Scotia - Northern,
31001,SABLE ISLAND,0,SABLE ISLAND,SABLE ISLAND,NOVA SCOTIA,NOUVELLE-ÉCOSSE,,-4,43.932297,-60.009287,8,2003-05-23,2015-04-18,,,N,X,,X,X,X,X,X,,X,,,X,,,,RB,NU,P1,O,R,none,09. Halifax,"034. Halifax, RGM","205. Halifax, CMA/RMR",na,
31101,KENTVILLE - AGRI-FOOD CANADA,1,32 MAIN STREET,KENTVILLE,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B4N 1J5,-4,45.067284,-64.477425,60,2002-08-16,,,2.5,N,,,X,X,X,X,X,X,,,,,,,,PE,NU,P3,A,N,0408. Kentville,07. Kings,"012. Kentville, T","210. Kentville, CA/AR",Nova Scotia - Western,
31201,GRANTON,0,20 PUMPHOUSE ROAD,GRANTON,NOVA SCOTIA,NOUVELLE-ÉCOSSE,B0K 1H0,-4,45.63115,-62.73838,2,,2016-03-25,,,N,,,,,,,,,,,,,X,,,PE,NU,P2,W,N,none,12. Pictou,"006. Pictou, Subd. B, SC","220. New Glasgow, CA/AR",Nova Scotia - Northern,
40103,FREDERICTON - ABERDEEN ST.,0,437 ABERDEEN STREET,FREDERICTON,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E3B 1S2,-4,45.957318,-66.646719,21,1999-04-16,2017-03-30,40104,3,N,,X,X,X,X,X,X,,X,,,,,,,PE,MU,P3,R,N,0305. Fredericton,10. York,"032. Fredericton, C","320. Fredericton, CMA/RMR",New Brunswick - Central,2
40104,FREDERICTON - NEEDHAM ST.,1,486 NEEDHAM STREET,FREDERICTON,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E3B 1P1,-4,45.957289,-66.645236,10,2016-08-31,,40103,,N,,,X,X,X,X,X,,X,,,,,,,PE,MU,P3,R,N,0305. Fredericton,10. York,"032. Fredericton, C","320. Fredericton, CMA/RMR",New Brunswick - Central,2
40201,SAINT JOHN - 110 CHARLOTTE ST.,0,110 CHARLOTTE STREET,SAINT JOHN,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E2L 2J3,-4,45.272517,-66.058401,51,1974-01-23,1974-02-06,,,N,X,,,,,,,,,,,,,,,PE,MU,P3,R,N,0734. Saint John,01. Saint John,"006. Saint John, C","310. Saint John, CMA/RMR",New Brunswick - Southern,
40202,SAINT JOHN - POST OFFICE,0,POST OFFICE,SAINT JOHN,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E2L 0B1,-4,45.27056,-66.0625,2,1974-01-01,1991-10-15,,,N,X,X,X,X,,X,,,,,,,,,,PE,MU,P3,C,N,0734. Saint John,01. Saint John,"006. Saint John, C","310. Saint John, CMA/RMR",New Brunswick - Southern,
40203,SAINT JOHN - FOREST HILLS,1,MOUNTAIN ROAD,SAINT JOHN,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E2J 2X1,-4,45.308762,-66.008384,41,1980-01-01,,,3,N,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,PS,MU,P3,R,M,0734. Saint John,01. Saint John,"006. Saint John, C","310. Saint John, CMA/RMR",New Brunswick - Southern,1
40204,SAINT JOHN - WEST DISTRICT POLICE STATION,0,1918 MANAWAGONISH ROAD,SAINT JOHN,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E2M 5H5,-4,45.23474,-66.1376,49,1980-01-01,1983-05-31,,,N,,,,,,X,,,,,,,,,,PE,MU,P2,R,U,0734. Saint John,01. Saint John,"006. Saint John, C","310. Saint John, CMA/RMR",New Brunswick - Southern,
40206,SAINT JOHN - CUSTOMS BUILDING,0,189 PRINCE WILLIAM,SAINT JOHN,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E2L 2B9,-4,45.269677,-66.06151,29,1991-11-14,2016-03-08,40209,3,N,X,X,X,X,X,X,,,,,,,,,,PS,MU,P3,R,N,0734. Saint John,01. Saint John,"006. Saint John, C","310. Saint John, CMA/RMR",New Brunswick - Southern,
40207,SAINT JOHN - WEST SIDE,1,476 LANCASTER AVENUE W.,SAINT JOHN,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E2M 2L7,-4,45.252898,-66.080065,59,1997-09-16,,,3,N,X,,X,X,X,X,X,,,,,,,,,PS,MU,P3,R,N,0734. Saint John,01. Saint John,"006. Saint John, C","310. Saint John, CMA/RMR",New Brunswick - Southern,
40208,SAINT JOHN - CHAMPLAIN HEIGHTS SCHOOL,1,111 CHAMPLAIN DRIVE,SAINT JOHN,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E2J 3E4,-4,45.291218,-66.00305,47,2000-07-11,,,3,N,X,,X,X,X,,X,,,,,,X,,,PS,MU,P3,R,M,0734. Saint John,01. Saint John,"006. Saint John, C","310. Saint John, CMA/RMR",New Brunswick - Southern,
40209,SAINT JOHN - CASTLE ST.,1,8 CASTLE STREET,SAINT JOHN,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E2J 3B8,-4,45.28028,-66.05611,41,2009-01-01,,40206,,N,X,X,X,X,X,X,X,,,,,,,,,PE,MU,P3,R,N,0734. Saint John,01. Saint John,"006. Saint John, C","310. Saint John, CMA/RMR",New Brunswick - Southern,
40302,MONCTON - THANET ST.,1,5 THANET STREET,MONCTON,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E1C 3G7,-4,46.101578,-64.789661,9,1998-07-17,,,3,N,,X,X,X,X,X,X,,,,,,,,,T,LU,P4,R,MI,0539. Moncton,07. Westmorland,"022. Moncton, C","305. Moncton, CMA/RMR",New Brunswick - Central,
40401,HASTINGS TOWER - FUNDY PARK,0,HASTINGS TOWER,FUNDY NAT. PARK,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E4H,-4,45.59222,-64.99444,335,1989-06-09,2015-05-25,,4,N,,,,,,X,,,,,,,,,,RB,NU,P1,F,R,none,06. Albert,"007. Alma, P",none,New Brunswick - Central,
40501,POINT LEPREAU - CHARLOTTE COUNTY,0,RECREATION AREA,POINT LEPREAU,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E5J,-4,45.073272,-66.449573,0,1986-07-15,2016-10-27,,3,N,,,,,,X,,,,,,,X,,,RB,NU,P1,W,R,none,01. Saint John,"016. Musquash, P","310. Saint John, CMA/RMR",New Brunswick - Southern,
40601,BLISSVILLE - SUNBURY COUNTY,0,AIRPORT ROAD,BLISSVILLE - SUNBURY COUNTY,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E5L 1Z2,-4,45.605425,-66.559505,9,1987-07-02,2014-04-04,,4,N,,,,,,X,,,,,,,,,,RB,NU,P1,F,R,none,03. Sunbury,"001. Blissville, P",none,New Brunswick - Central,
40701,NORTON - KINGS COUNTY,0,308 HWY 124,NORTON - KINGS COUNTY,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E5T 1R2,-4,45.64192,-65.70127,20,1989-06-05,2018-01-15,,4,N,,,,,,X,,,,,,,,,,RB,NU,P2,F,R,none,05. Kings,"018. Norton, VL",none,New Brunswick - Southern,
40801,CANTERBURY,0,487 ROUTE 122,DOW SETTLEMENT,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E6H 1B9,-4,45.950069,-67.477738,153,1994-08-01,2014-11-12,,,N,,,,,,X,X,,X,,,X,,,,RB,NU,P1,F,R,none,10. York,"011. Canterbury, P",none,New Brunswick - Central,
40901,ST. ANDREWS - HUNTSMAN MARINE SCIENCES CTR.,1,"MARINE SCIENCE DRIVE, ROUTE 127",ST. ANDREWS,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E5B 3S9,-4,45.086912,-67.074036,25,1995-01-09,,,3,N,,,X,X,X,X,X,,X,,,,X,,X,RB,NU,P2,F,R,none,02. Charlotte,"026. Saint Andrews, TV",none,New Brunswick - Southern,
41001,CAMPOBELLO ISLAND,0,CAMPOBELLO ISLAND,CAMPOBELLO ISLAND,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,,-4,44.87306,-66.95611,29,1995-05-24,2005-09-30,,,N,,,,,,X,,,,,,,,,,RB,NU,P2,F,R,none,02. Charlotte,"004. Campobello Island, RCR",none,New Brunswick - Southern,
41101,ST. LEONARD - AIRPORT,0,St. Leonard Airport (YSL),ST. LEONARD,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E7E 2P7,-4,47.157628,-67.831015,239,2000-05-10,2016-12-23,,5,N,,,,,,X,,,,,,,,,,RB,NU,P1,F,R,none,13. Madawaska,"004. Saint-Léonard, P",none,New Brunswick - Central,
41201,MIRAMICHI - LOWER NEWCASTLE,0,55 ROUTE 11 HWY,MIRAMICHI,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E1V 7E7,-4,47.071087,-65.423534,18,2000-06-01,2018-04-13,,2.5,N,,,,,,X,,,,,,,,,,RB,NU,P2,R,R,none,09. Northumberland,"031. Newcastle, P","329. Miramichi, CA/AR",New Brunswick - Central,
41301,BATHURST - HOLY FAMILY CHURCH,0,430 ST. PETERS AVENUE,BATHURST,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E2A 2Y2,-4,47.62889,-65.66333,20,2000-01-01,2002-10-23,,,N,,,,,,,X,,,,,,,,,PE,SU,P2,R,U,0045. Bathurst,15. Gloucester,"011. Bathurst, C","328. Bathurst, CA/AR",New Brunswick - Northern,
41302,BATHURST - ROUGH WATERS DR.,1,1255 ROUGH WATERS DRIVE,BATHURST,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,E2A 1Z2,-4,47.609693,-65.633509,16,2005-01-01,,,4,N,,,X,X,X,X,X,,,,,,,,,PE,SU,P2,R,N,0045. Bathurst,15. Gloucester,"011. Bathurst, C","328. Bathurst, CA/AR",New Brunswick - Northern,
