Year,Provinces,Emissions,Sectors
2019,Newfoundland and Labrador,1666,Oil and gas extraction [BS21100]
2020,Newfoundland and Labrador,1450,Oil and gas extraction [BS21100]
2021,Newfoundland and Labrador,1253,Oil and gas extraction [BS21100]
2022,Newfoundland and Labrador,1203,Oil and gas extraction [BS21100]
2023,Newfoundland and Labrador,1191,Oil and gas extraction [BS21100]
2013,Newfoundland and Labrador,1184,Metal ore mining [BS21220]
2014,Newfoundland and Labrador,1189,Metal ore mining [BS21220]
2015,Newfoundland and Labrador,1427,Metal ore mining [BS21220]
2016,Newfoundland and Labrador,936,Metal ore mining [BS21220]
2017,Newfoundland and Labrador,927,Metal ore mining [BS21220]
2018,Newfoundland and Labrador,745,Metal ore mining [BS21220]
2019,Newfoundland and Labrador,1033,Metal ore mining [BS21220]
2020,Newfoundland and Labrador,1124,Metal ore mining [BS21220]
2021,Newfoundland and Labrador,972,Metal ore mining [BS21220]
2022,Newfoundland and Labrador,1206,Metal ore mining [BS21220]
2023,Newfoundland and Labrador,1180,Metal ore mining [BS21220]
2013,Newfoundland and Labrador,8,Non-metallic mineral mining and quarrying [BS21230]
2014,Newfoundland and Labrador,12,Non-metallic mineral mining and quarrying [BS21230]
2015,Newfoundland and Labrador,14,Non-metallic mineral mining and quarrying [BS21230]
2016,Newfoundland and Labrador,14,Non-metallic mineral mining and quarrying [BS21230]
2017,Newfoundland and Labrador,2,Non-metallic mineral mining and quarrying [BS21230]
2018,Newfoundland and Labrador,4,Non-metallic mineral mining and quarrying [BS21230]
2019,Newfoundland and Labrador,35,Non-metallic mineral mining and quarrying [BS21230]
2020,Newfoundland and Labrador,37,Non-metallic mineral mining and quarrying [BS21230]
2021,Newfoundland and Labrador,16,Non-metallic mineral mining and quarrying [BS21230]
2022,Newfoundland and Labrador,1,Non-metallic mineral mining and quarrying [BS21230]
2023,Newfoundland and Labrador,1,Non-metallic mineral mining and quarrying [BS21230]
2013,Newfoundland and Labrador,154,Support activities for mining and oil and gas extraction [BS21300]
2014,Newfoundland and Labrador,187,Support activities for mining and oil and gas extraction [BS21300]
2015,Newfoundland and Labrador,189,Support activities for mining and oil and gas extraction [BS21300]
2016,Newfoundland and Labrador,320,Support activities for mining and oil and gas extraction [BS21300]
2017,Newfoundland and Labrador,201,Support activities for mining and oil and gas extraction [BS21300]
2018,Newfoundland and Labrador,305,Support activities for mining and oil and gas extraction [BS21300]
2019,Newfoundland and Labrador,265,Support activities for mining and oil and gas extraction [BS21300]
2020,Newfoundland and Labrador,215,Support activities for mining and oil and gas extraction [BS21300]
2021,Newfoundland and Labrador,309,Support activities for mining and oil and gas extraction [BS21300]
2022,Newfoundland and Labrador,212,Support activities for mining and oil and gas extraction [BS21300]
2023,Newfoundland and Labrador,211,Support activities for mining and oil and gas extraction [BS21300]
2013,Newfoundland and Labrador,867,"Electric power generation, transmission and distribution [BS22110]"
2014,Newfoundland and Labrador,1206,"Electric power generation, transmission and distribution [BS22110]"
2015,Newfoundland and Labrador,1339,"Electric power generation, transmission and distribution [BS22110]"
2016,Newfoundland and Labrador,1523,"Electric power generation, transmission and distribution [BS22110]"
2017,Newfoundland and Labrador,1529,"Electric power generation, transmission and distribution [BS22110]"
2018,Newfoundland and Labrador,1127,"Electric power generation, transmission and distribution [BS22110]"
2019,Newfoundland and Labrador,1140,"Electric power generation, transmission and distribution [BS22110]"
2020,Newfoundland and Labrador,952,"Electric power generation, transmission and distribution [BS22110]"
2021,Newfoundland and Labrador,646,"Electric power generation, transmission and distribution [BS22110]"
2022,Newfoundland and Labrador,686,"Electric power generation, transmission and distribution [BS22110]"
2023,Newfoundland and Labrador,680,"Electric power generation, transmission and distribution [BS22110]"
2013,Newfoundland and Labrador,15,Residential building construction [BS23A00]
2014,Newfoundland and Labrador,17,Residential building construction [BS23A00]
2015,Newfoundland and Labrador,20,Residential building construction [BS23A00]
2016,Newfoundland and Labrador,27,Residential building construction [BS23A00]
2017,Newfoundland and Labrador,20,Residential building construction [BS23A00]
2018,Newfoundland and Labrador,27,Residential building construction [BS23A00]
2019,Newfoundland and Labrador,23,Residential building construction [BS23A00]
2020,Newfoundland and Labrador,42,Residential building construction [BS23A00]
2021,Newfoundland and Labrador,54,Residential building construction [BS23A00]
2022,Newfoundland and Labrador,55,Residential building construction [BS23A00]
2023,Newfoundland and Labrador,57,Residential building construction [BS23A00]
2013,Newfoundland and Labrador,14,Non-residential building construction [BS23B00]
2014,Newfoundland and Labrador,16,Non-residential building construction [BS23B00]
2015,Newfoundland and Labrador,19,Non-residential building construction [BS23B00]
2016,Newfoundland and Labrador,23,Non-residential building construction [BS23B00]
2017,Newfoundland and Labrador,11,Non-residential building construction [BS23B00]
2018,Newfoundland and Labrador,16,Non-residential building construction [BS23B00]
2019,Newfoundland and Labrador,16,Non-residential building construction [BS23B00]
2020,Newfoundland and Labrador,9,Non-residential building construction [BS23B00]
2021,Newfoundland and Labrador,9,Non-residential building construction [BS23B00]
2022,Newfoundland and Labrador,8,Non-residential building construction [BS23B00]
2023,Newfoundland and Labrador,8,Non-residential building construction [BS23B00]
2013,Newfoundland and Labrador,23,Transportation engineering construction [BS23C10]
2014,Newfoundland and Labrador,17,Transportation engineering construction [BS23C10]
2015,Newfoundland and Labrador,24,Transportation engineering construction [BS23C10]
2016,Newfoundland and Labrador,19,Transportation engineering construction [BS23C10]
2017,Newfoundland and Labrador,24,Transportation engineering construction [BS23C10]
2018,Newfoundland and Labrador,33,Transportation engineering construction [BS23C10]
2019,Newfoundland and Labrador,30,Transportation engineering construction [BS23C10]
2020,Newfoundland and Labrador,12,Transportation engineering construction [BS23C10]
2021,Newfoundland and Labrador,10,Transportation engineering construction [BS23C10]
2022,Newfoundland and Labrador,9,Transportation engineering construction [BS23C10]
2023,Newfoundland and Labrador,10,Transportation engineering construction [BS23C10]
2013,Newfoundland and Labrador,107,Oil and gas engineering construction [BS23C20]
2014,Newfoundland and Labrador,181,Oil and gas engineering construction [BS23C20]
2015,Newfoundland and Labrador,176,Oil and gas engineering construction [BS23C20]
2016,Newfoundland and Labrador,191,Oil and gas engineering construction [BS23C20]
2017,Newfoundland and Labrador,127,Oil and gas engineering construction [BS23C20]
2018,Newfoundland and Labrador,152,Oil and gas engineering construction [BS23C20]
2019,Newfoundland and Labrador,167,Oil and gas engineering construction [BS23C20]
2020,Newfoundland and Labrador,64,Oil and gas engineering construction [BS23C20]
2021,Newfoundland and Labrador,42,Oil and gas engineering construction [BS23C20]
2022,Newfoundland and Labrador,59,Oil and gas engineering construction [BS23C20]
2023,Newfoundland and Labrador,62,Oil and gas engineering construction [BS23C20]
2013,Newfoundland and Labrador,26,Electric power engineering construction [BS23C30]
2014,Newfoundland and Labrador,43,Electric power engineering construction [BS23C30]
2015,Newfoundland and Labrador,102,Electric power engineering construction [BS23C30]
2016,Newfoundland and Labrador,176,Electric power engineering construction [BS23C30]
2017,Newfoundland and Labrador,159,Electric power engineering construction [BS23C30]
2018,Newfoundland and Labrador,91,Electric power engineering construction [BS23C30]
2019,Newfoundland and Labrador,74,Electric power engineering construction [BS23C30]
2020,Newfoundland and Labrador,39,Electric power engineering construction [BS23C30]
2021,Newfoundland and Labrador,27,Electric power engineering construction [BS23C30]
2022,Newfoundland and Labrador,6,Electric power engineering construction [BS23C30]
2023,Newfoundland and Labrador,7,Electric power engineering construction [BS23C30]
2013,Newfoundland and Labrador,3,Communication engineering construction [BS23C40]
2014,Newfoundland and Labrador,3,Communication engineering construction [BS23C40]
2015,Newfoundland and Labrador,2,Communication engineering construction [BS23C40]
2016,Newfoundland and Labrador,9,Communication engineering construction [BS23C40]
2017,Newfoundland and Labrador,10,Communication engineering construction [BS23C40]
2018,Newfoundland and Labrador,15,Communication engineering construction [BS23C40]
2019,Newfoundland and Labrador,9,Communication engineering construction [BS23C40]
2020,Newfoundland and Labrador,9,Communication engineering construction [BS23C40]
2021,Newfoundland and Labrador,9,Communication engineering construction [BS23C40]
2022,Newfoundland and Labrador,6,Communication engineering construction [BS23C40]
2023,Newfoundland and Labrador,6,Communication engineering construction [BS23C40]
2013,Newfoundland and Labrador,22,Other engineering construction [BS23C50]
2014,Newfoundland and Labrador,15,Other engineering construction [BS23C50]
2015,Newfoundland and Labrador,15,Other engineering construction [BS23C50]
2016,Newfoundland and Labrador,26,Other engineering construction [BS23C50]
2017,Newfoundland and Labrador,34,Other engineering construction [BS23C50]
2018,Newfoundland and Labrador,56,Other engineering construction [BS23C50]
2019,Newfoundland and Labrador,44,Other engineering construction [BS23C50]
2020,Newfoundland and Labrador,45,Other engineering construction [BS23C50]
2021,Newfoundland and Labrador,65,Other engineering construction [BS23C50]
2022,Newfoundland and Labrador,35,Other engineering construction [BS23C50]
2023,Newfoundland and Labrador,37,Other engineering construction [BS23C50]
2013,Newfoundland and Labrador,10,Repair construction [BS23D00]
2014,Newfoundland and Labrador,15,Repair construction [BS23D00]
2015,Newfoundland and Labrador,16,Repair construction [BS23D00]
2016,Newfoundland and Labrador,22,Repair construction [BS23D00]
2017,Newfoundland and Labrador,22,Repair construction [BS23D00]
2018,Newfoundland and Labrador,34,Repair construction [BS23D00]
2019,Newfoundland and Labrador,27,Repair construction [BS23D00]
2020,Newfoundland and Labrador,19,Repair construction [BS23D00]
2021,Newfoundland and Labrador,20,Repair construction [BS23D00]
2022,Newfoundland and Labrador,18,Repair construction [BS23D00]
2023,Newfoundland and Labrador,19,Repair construction [BS23D00]
2013,Newfoundland and Labrador,4,Other activities of the construction industry [BS23E00]
2014,Newfoundland and Labrador,5,Other activities of the construction industry [BS23E00]
2015,Newfoundland and Labrador,6,Other activities of the construction industry [BS23E00]
2016,Newfoundland and Labrador,6,Other activities of the construction industry [BS23E00]
2017,Newfoundland and Labrador,6,Other activities of the construction industry [BS23E00]
2018,Newfoundland and Labrador,8,Other activities of the construction industry [BS23E00]
2019,Newfoundland and Labrador,7,Other activities of the construction industry [BS23E00]
2020,Newfoundland and Labrador,5,Other activities of the construction industry [BS23E00]
2021,Newfoundland and Labrador,5,Other activities of the construction industry [BS23E00]
2022,Newfoundland and Labrador,4,Other activities of the construction industry [BS23E00]
2023,Newfoundland and Labrador,4,Other activities of the construction industry [BS23E00]
2013,Newfoundland and Labrador,3,Animal food manufacturing [BS31110]
2014,Newfoundland and Labrador,4,Animal food manufacturing [BS31110]
2015,Newfoundland and Labrador,4,Animal food manufacturing [BS31110]
2016,Newfoundland and Labrador,4,Animal food manufacturing [BS31110]
2017,Newfoundland and Labrador,3,Animal food manufacturing [BS31110]
2018,Newfoundland and Labrador,3,Animal food manufacturing [BS31110]
2019,Newfoundland and Labrador,4,Animal food manufacturing [BS31110]
2020,Newfoundland and Labrador,3,Animal food manufacturing [BS31110]
2021,Newfoundland and Labrador,4,Animal food manufacturing [BS31110]
2022,Newfoundland and Labrador,4,Animal food manufacturing [BS31110]
2023,Newfoundland and Labrador,5,Animal food manufacturing [BS31110]
2013,Newfoundland and Labrador,6,Dairy product manufacturing [BS31150]
2014,Newfoundland and Labrador,5,Dairy product manufacturing [BS31150]
2015,Newfoundland and Labrador,4,Dairy product manufacturing [BS31150]
2016,Newfoundland and Labrador,6,Dairy product manufacturing [BS31150]
2017,Newfoundland and Labrador,5,Dairy product manufacturing [BS31150]
2018,Newfoundland and Labrador,1,Dairy product manufacturing [BS31150]
2019,Newfoundland and Labrador,1,Dairy product manufacturing [BS31150]
2020,Newfoundland and Labrador,1,Dairy product manufacturing [BS31150]
2021,Newfoundland and Labrador,1,Dairy product manufacturing [BS31150]
2013,Newfoundland and Labrador,4,Meat product manufacturing [BS31160]
2014,Newfoundland and Labrador,5,Meat product manufacturing [BS31160]
2015,Newfoundland and Labrador,5,Meat product manufacturing [BS31160]
2016,Newfoundland and Labrador,5,Meat product manufacturing [BS31160]
2017,Newfoundland and Labrador,4,Meat product manufacturing [BS31160]
2018,Newfoundland and Labrador,4,Meat product manufacturing [BS31160]
2019,Newfoundland and Labrador,4,Meat product manufacturing [BS31160]
2020,Newfoundland and Labrador,4,Meat product manufacturing [BS31160]
2021,Newfoundland and Labrador,3,Meat product manufacturing [BS31160]
2022,Newfoundland and Labrador,4,Meat product manufacturing [BS31160]
2023,Newfoundland and Labrador,4,Meat product manufacturing [BS31160]
2013,Newfoundland and Labrador,24,Seafood product preparation and packaging [BS31170]
2014,Newfoundland and Labrador,24,Seafood product preparation and packaging [BS31170]
2015,Newfoundland and Labrador,31,Seafood product preparation and packaging [BS31170]
2016,Newfoundland and Labrador,54,Seafood product preparation and packaging [BS31170]
2017,Newfoundland and Labrador,24,Seafood product preparation and packaging [BS31170]
2018,Newfoundland and Labrador,25,Seafood product preparation and packaging [BS31170]
2019,Newfoundland and Labrador,34,Seafood product preparation and packaging [BS31170]
2020,Newfoundland and Labrador,35,Seafood product preparation and packaging [BS31170]
2021,Newfoundland and Labrador,36,Seafood product preparation and packaging [BS31170]
2022,Newfoundland and Labrador,40,Seafood product preparation and packaging [BS31170]
2023,Newfoundland and Labrador,41,Seafood product preparation and packaging [BS31170]
2013,Newfoundland and Labrador,1,Miscellaneous food manufacturing [BS311A0]
2015,Newfoundland and Labrador,1,Miscellaneous food manufacturing [BS311A0]
2016,Newfoundland and Labrador,1,Miscellaneous food manufacturing [BS311A0]
2017,Newfoundland and Labrador,1,Miscellaneous food manufacturing [BS311A0]
2018,Newfoundland and Labrador,1,Miscellaneous food manufacturing [BS311A0]
2019,Newfoundland and Labrador,1,Miscellaneous food manufacturing [BS311A0]
2020,Newfoundland and Labrador,1,Miscellaneous food manufacturing [BS311A0]
2021,Newfoundland and Labrador,1,Miscellaneous food manufacturing [BS311A0]
2022,Newfoundland and Labrador,1,Miscellaneous food manufacturing [BS311A0]
2023,Newfoundland and Labrador,1,Miscellaneous food manufacturing [BS311A0]
2013,Newfoundland and Labrador,2,Soft drink and ice manufacturing [BS31211]
2014,Newfoundland and Labrador,2,Soft drink and ice manufacturing [BS31211]
2015,Newfoundland and Labrador,1,Soft drink and ice manufacturing [BS31211]
2016,Newfoundland and Labrador,1,Soft drink and ice manufacturing [BS31211]
2017,Newfoundland and Labrador,1,Soft drink and ice manufacturing [BS31211]
2018,Newfoundland and Labrador,1,Soft drink and ice manufacturing [BS31211]
2019,Newfoundland and Labrador,2,Soft drink and ice manufacturing [BS31211]
2020,Newfoundland and Labrador,2,Soft drink and ice manufacturing [BS31211]
2021,Newfoundland and Labrador,1,Soft drink and ice manufacturing [BS31211]
2022,Newfoundland and Labrador,1,Soft drink and ice manufacturing [BS31211]
2023,Newfoundland and Labrador,1,Soft drink and ice manufacturing [BS31211]
2013,Newfoundland and Labrador,13,Breweries [BS31212]
2014,Newfoundland and Labrador,15,Breweries [BS31212]
2015,Newfoundland and Labrador,21,Breweries [BS31212]
2016,Newfoundland and Labrador,14,Breweries [BS31212]
2017,Newfoundland and Labrador,13,Breweries [BS31212]
2018,Newfoundland and Labrador,14,Breweries [BS31212]
2019,Newfoundland and Labrador,6,Breweries [BS31212]
2020,Newfoundland and Labrador,9,Breweries [BS31212]
2021,Newfoundland and Labrador,9,Breweries [BS31212]
2022,Newfoundland and Labrador,8,Breweries [BS31212]
2023,Newfoundland and Labrador,8,Breweries [BS31212]
2016,Newfoundland and Labrador,0,Tobacco manufacturing [BS31220]
2015,Newfoundland and Labrador,1,Textile and textile product mills [BS31A00]
2014,Newfoundland and Labrador,1,Clothing and leather and allied product manufacturing [BS31B00]
2015,Newfoundland and Labrador,6,Clothing and leather and allied product manufacturing [BS31B00]
2016,Newfoundland and Labrador,1,Clothing and leather and allied product manufacturing [BS31B00]
2019,Newfoundland and Labrador,1,Clothing and leather and allied product manufacturing [BS31B00]
2020,Newfoundland and Labrador,1,Clothing and leather and allied product manufacturing [BS31B00]
2013,Newfoundland and Labrador,12,Wood product manufacturing [BS32100]
2014,Newfoundland and Labrador,12,Wood product manufacturing [BS32100]
2015,Newfoundland and Labrador,14,Wood product manufacturing [BS32100]
2016,Newfoundland and Labrador,15,Wood product manufacturing [BS32100]
2017,Newfoundland and Labrador,16,Wood product manufacturing [BS32100]
2018,Newfoundland and Labrador,15,Wood product manufacturing [BS32100]
2019,Newfoundland and Labrador,16,Wood product manufacturing [BS32100]
2020,Newfoundland and Labrador,16,Wood product manufacturing [BS32100]
2021,Newfoundland and Labrador,18,Wood product manufacturing [BS32100]
2022,Newfoundland and Labrador,17,Wood product manufacturing [BS32100]
2023,Newfoundland and Labrador,16,Wood product manufacturing [BS32100]
2013,Newfoundland and Labrador,109,"Pulp, paper and paperboard mills [BS32210]"
2014,Newfoundland and Labrador,83,"Pulp, paper and paperboard mills [BS32210]"
2015,Newfoundland and Labrador,81,"Pulp, paper and paperboard mills [BS32210]"
2016,Newfoundland and Labrador,159,"Pulp, paper and paperboard mills [BS32210]"
2017,Newfoundland and Labrador,204,"Pulp, paper and paperboard mills [BS32210]"
2018,Newfoundland and Labrador,147,"Pulp, paper and paperboard mills [BS32210]"
2019,Newfoundland and Labrador,18,"Pulp, paper and paperboard mills [BS32210]"
2020,Newfoundland and Labrador,133,"Pulp, paper and paperboard mills [BS32210]"
2021,Newfoundland and Labrador,146,"Pulp, paper and paperboard mills [BS32210]"
2022,Newfoundland and Labrador,143,"Pulp, paper and paperboard mills [BS32210]"
2023,Newfoundland and Labrador,121,"Pulp, paper and paperboard mills [BS32210]"
2015,Newfoundland and Labrador,1,Converted paper product manufacturing [BS32220]
2013,Newfoundland and Labrador,1,Printing and related support activities [BS32300]
2014,Newfoundland and Labrador,1,Printing and related support activities [BS32300]
2015,Newfoundland and Labrador,1,Printing and related support activities [BS32300]
2016,Newfoundland and Labrador,1,Printing and related support activities [BS32300]
2017,Newfoundland and Labrador,1,Printing and related support activities [BS32300]
2018,Newfoundland and Labrador,1,Printing and related support activities [BS32300]
2019,Newfoundland and Labrador,1,Printing and related support activities [BS32300]
2020,Newfoundland and Labrador,1,Printing and related support activities [BS32300]
2021,Newfoundland and Labrador,1,Printing and related support activities [BS32300]
2013,Newfoundland and Labrador,935,Petroleum and coal product manufacturing [BS32400]
2014,Newfoundland and Labrador,901,Petroleum and coal product manufacturing [BS32400]
2015,Newfoundland and Labrador,1019,Petroleum and coal product manufacturing [BS32400]
2016,Newfoundland and Labrador,1157,Petroleum and coal product manufacturing [BS32400]
2017,Newfoundland and Labrador,947,Petroleum and coal product manufacturing [BS32400]
2018,Newfoundland and Labrador,919,Petroleum and coal product manufacturing [BS32400]
2019,Newfoundland and Labrador,1040,Petroleum and coal product manufacturing [BS32400]
2020,Newfoundland and Labrador,213,Petroleum and coal product manufacturing [BS32400]
2021,Newfoundland and Labrador,35,Petroleum and coal product manufacturing [BS32400]
2022,Newfoundland and Labrador,25,Petroleum and coal product manufacturing [BS32400]
2023,Newfoundland and Labrador,37,Petroleum and coal product manufacturing [BS32400]
2013,Newfoundland and Labrador,1,Basic chemical manufacturing [BS32510]
2017,Newfoundland and Labrador,5,Basic chemical manufacturing [BS32510]
2018,Newfoundland and Labrador,1,Basic chemical manufacturing [BS32510]
2019,Newfoundland and Labrador,2,Basic chemical manufacturing [BS32510]
2020,Newfoundland and Labrador,3,Basic chemical manufacturing [BS32510]
2021,Newfoundland and Labrador,3,Basic chemical manufacturing [BS32510]
2022,Newfoundland and Labrador,4,Basic chemical manufacturing [BS32510]
2023,Newfoundland and Labrador,5,Basic chemical manufacturing [BS32510]
2013,Newfoundland and Labrador,1,Miscellaneous chemical product manufacturing [BS325C0]
2014,Newfoundland and Labrador,1,Miscellaneous chemical product manufacturing [BS325C0]
2015,Newfoundland and Labrador,1,Miscellaneous chemical product manufacturing [BS325C0]
2016,Newfoundland and Labrador,5,Miscellaneous chemical product manufacturing [BS325C0]
2017,Newfoundland and Labrador,4,Miscellaneous chemical product manufacturing [BS325C0]
2018,Newfoundland and Labrador,3,Miscellaneous chemical product manufacturing [BS325C0]
2019,Newfoundland and Labrador,11,Miscellaneous chemical product manufacturing [BS325C0]
2020,Newfoundland and Labrador,7,Miscellaneous chemical product manufacturing [BS325C0]
2021,Newfoundland and Labrador,7,Miscellaneous chemical product manufacturing [BS325C0]
2022,Newfoundland and Labrador,10,Miscellaneous chemical product manufacturing [BS325C0]
2023,Newfoundland and Labrador,10,Miscellaneous chemical product manufacturing [BS325C0]
2013,Newfoundland and Labrador,1,Plastic product manufacturing [BS32610]
2014,Newfoundland and Labrador,7,Plastic product manufacturing [BS32610]
2015,Newfoundland and Labrador,10,Plastic product manufacturing [BS32610]
2016,Newfoundland and Labrador,1,Plastic product manufacturing [BS32610]
2022,Newfoundland and Labrador,1,Plastic product manufacturing [BS32610]
2023,Newfoundland and Labrador,1,Plastic product manufacturing [BS32610]
2013,Newfoundland and Labrador,1,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0]
2014,Newfoundland and Labrador,1,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0]
2015,Newfoundland and Labrador,1,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0]
2016,Newfoundland and Labrador,1,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0]
2017,Newfoundland and Labrador,1,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0]
2013,Newfoundland and Labrador,7,Cement and concrete product manufacturing [BS32730]
2014,Newfoundland and Labrador,3,Cement and concrete product manufacturing [BS32730]
2015,Newfoundland and Labrador,4,Cement and concrete product manufacturing [BS32730]
2016,Newfoundland and Labrador,14,Cement and concrete product manufacturing [BS32730]
2017,Newfoundland and Labrador,11,Cement and concrete product manufacturing [BS32730]
2018,Newfoundland and Labrador,26,Cement and concrete product manufacturing [BS32730]
2019,Newfoundland and Labrador,32,Cement and concrete product manufacturing [BS32730]
2020,Newfoundland and Labrador,54,Cement and concrete product manufacturing [BS32730]
2021,Newfoundland and Labrador,8,Cement and concrete product manufacturing [BS32730]
2022,Newfoundland and Labrador,6,Cement and concrete product manufacturing [BS32730]
2023,Newfoundland and Labrador,6,Cement and concrete product manufacturing [BS32730]
2013,Newfoundland and Labrador,1,Primary metal manufacturing [BS33100]
2015,Newfoundland and Labrador,89,Primary metal manufacturing [BS33100]
2016,Newfoundland and Labrador,38,Primary metal manufacturing [BS33100]
2017,Newfoundland and Labrador,54,Primary metal manufacturing [BS33100]
2018,Newfoundland and Labrador,45,Primary metal manufacturing [BS33100]
2019,Newfoundland and Labrador,40,Primary metal manufacturing [BS33100]
2020,Newfoundland and Labrador,17,Primary metal manufacturing [BS33100]
2021,Newfoundland and Labrador,14,Primary metal manufacturing [BS33100]
2022,Newfoundland and Labrador,29,Primary metal manufacturing [BS33100]
2023,Newfoundland and Labrador,29,Primary metal manufacturing [BS33100]
2013,Newfoundland and Labrador,8,Fabricated metal product manufacturing [BS33200]
2014,Newfoundland and Labrador,5,Fabricated metal product manufacturing [BS33200]
2015,Newfoundland and Labrador,7,Fabricated metal product manufacturing [BS33200]
2016,Newfoundland and Labrador,6,Fabricated metal product manufacturing [BS33200]
2017,Newfoundland and Labrador,3,Fabricated metal product manufacturing [BS33200]
2018,Newfoundland and Labrador,3,Fabricated metal product manufacturing [BS33200]
2019,Newfoundland and Labrador,3,Fabricated metal product manufacturing [BS33200]
2020,Newfoundland and Labrador,3,Fabricated metal product manufacturing [BS33200]
2021,Newfoundland and Labrador,2,Fabricated metal product manufacturing [BS33200]
